Title,Location,Experience Level,Job Schedule,Job Type,Brands,Job Category,Description,Reference,Expiry Date
Head Waiter,"SLS Dubai Hotel & Residences, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SLS,Food & Beverage,Ensure the day to day operation is smooth in the restaurantAssist the leadership team of the restaurant in achieving high guest satisfactionGuide and lead the server in the restaurantPerform the dutie,a654f19c-9979-4f47-bcb6-fffb447067e8,01/01/0001
Assistant Waitress,"SLS Dubai Hotel & Residences, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SLS,Food & Beverage,"Provide friendly, courteous, and professional service at all timesEnsure good communication with ManagementMaintain complete knowledge of all menu itemsPrepare and check tables before serviceClear and",baa6bc3b-a586-416f-b0b0-4b44b0026c9e,01/01/0001
F&B Captain,"Movenpick Resort Al Marjan Island, Ras Al-Khaimah, United Arab Emirates",Associate,Full-Time,Permanent,MOVENPICK,Food & Beverage,"F&B CaptainPassionate about guest interaction, food and beverage? As a Captain, you will lead your team to create unforgettable Food & Beverage experiences for our guests.What you will be doing:You'll",9a598ac6-7b0c-45ae-9dda-f4f07ec7cf0e,01/01/0001
F&B Supervisor,"Movenpick Resort Al Marjan Island, Ras Al-Khaimah, United Arab Emirates",Executive,Full-Time,Permanent,MOVENPICK,Food & Beverage,"F&B SupervisorPassionate about guest interaction, food and beverage? As a Supervisor, you will lead your team to create unforgettable Food & Beverage experiences for our guests.What you will be doing:",0ff3ada8-1f28-49e2-9fc7-eaf52a7db7f7,01/01/0001
Waitress,"ibis Dubai Al Barsha, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,IBIS,Food & Beverage,"The right Waiter/Waitress uplifts the dining experience for customers. We are looking for someone who will have the patience, personality, and perseverance to thrive in this role.What you will be doin",d816dcfb-96c2-4a26-badc-613fbe8fe175,01/01/0001
F&B Hostess,"Movenpick Resort Al Marjan Island, Ras Al-Khaimah, United Arab Emirates",Associate,Full-Time,Permanent,MOVENPICK,Food & Beverage,"Hostess 
You are an ambassador for the exceptional service and cuisine that are hallmarks of our food & beverage experience . Your warm, personal attention and knowledge of our outstanding offerings m",4b5a5f92-6e6e-4c12-b607-043ba1799c8d,01/01/0001
Stewarding Manager,"Sofitel Al Hamra Beach Resort, Ras Al-Khaimah, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,Accor,Food & Beverage,To ensure that breakages are administrated in order to provide constant feedback to the operation as a tool to reduce breakages and losses.To strictly adhere to the established operating expenses and,20ed8b56-24c2-4f8b-937d-fd9f21b72ce9,01/01/0001
Barista - Arabic Speaker,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,Accor,Food & Beverage,What you will be doing:Maintain available to provide assistance for any matter related to making the stay of the hotel guest a pleasant and memorable oneWelcome guest upon arrivalEscort guest to their,a0276b8c-b5d4-49e1-9382-f5fa090d1be7,01/01/0001
Stewarding Attendant,"Novotel Deira Creekside Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,NOVOTEL,Food & Beverage,"Stewarding Attendant 
Do you have a heart to serve and love being part of a team? As a Stewarding Attendant, you will assist in the execution of memorable Food and beverage experiences for our guests.",cf59f2e9-b601-4d2b-81bb-472de9154dbc,01/01/0001
F&B Marketing Executive,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,"THE POSITIONThis role is to supports the Food & Beverage department in carrying out various strategies and tasks. Compiles, analyses, and reports. This position will appeal to a highly motivated, flex",97698e68-e6da-429d-897c-33af7987dadd,01/01/0001
Waiter/Waitress - Porterhouse,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To be familiar with all food and beverage items on the outlet menu.To prepare the outlet for operation, including mise-en-place, setting and resetting tables, light cleaning and other assigned tasks.T",24014b8a-8303-424e-b0e5-be6dc71b825c,01/01/0001
F&B Attendant (Waiter/Waitress),"Novotel World Trade Centre Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,NOVOTEL,Food & Beverage,Greet and serve customers in a friendly and professional manner.Take food and beverage orders and relay them to the kitchen or bar staff.Serve food and beverages to guests and ensure orders are accura,a55f10ce-90a7-4188-b4d6-f7844eabeaac,01/01/0001
Waiter/ Waitress,"Novotel Abu Dhabi Gate, Abu Dhabi, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,We are seeking a dynamic and talented Waiter/Waitress to join our team in the hotel industry in the UAE. The Waiter/Waitress will be responsible to the following key job responsibilities:To report for,eae7dafc-cdc6-43eb-9cde-48704db0c4f6,01/01/0001
